X,Y,code,lat,lon,elevation,station_name,STATEFP,UNSDLEA,AFFGEOID,GEOID,district,LSAD,ALAND,AWATER
-80.05750,39.15030,US1WVBB0001,39.15030,-80.05750,433.40000,WV PHILIPPI 0.7,54,00030,9700000US5400030,5400030,Barbour County School District,00,883338731,4639232
-80.59660,40.26800,US1WVBK0001,40.26800,-80.59660,303.30000,WV WELLSBURG 1.2,54,00150,9700000US5400150,5400150,Brooke County School District,00,231034166,8714144
-81.86750,37.98770,US1WVBN0001,37.98770,-81.86750,268.20000,WV DANVILLE 6.7,54,00090,9700000US5400090,5400090,Boone County School District,00,1298967375,4305976
-81.62280,38.10790,US1WVBN0002,38.10790,-81.62280,221.00000,WV SETH SE 0.0,54,00090,9700000US5400090,5400090,Boone County School District,00,1298967375,4305976
-78.06800,39.33680,US1WVBY0001,39.33680,-78.06800,196.90000,WV BUNKER HILL 0.8,54,00060,9700000US5400060,5400060,Berkeley County School District,00,831766637,1061824
-77.91810,39.58750,US1WVBY0002,39.58750,-77.91810,149.40000,WV FALLING WATERS 2.4,54,00060,9700000US5400060,5400060,Berkeley County School District,00,831766637,1061824
-77.83620,39.51360,US1WVBY0004,39.51360,-77.83620,135.30000,WV MARTINSBURG 8.0,54,00060,9700000US5400060,5400060,Berkeley County School District,00,831766637,1061824
-77.89050,39.44860,US1WVBY0006,39.44860,-77.89050,144.50000,WV MARTINSBURG 4.3,54,00060,9700000US5400060,5400060,Berkeley County School District,00,831766637,1061824
-82.38130,38.40600,US1WVCB0002,38.40600,-82.38130,178.60000,WV HUNTINGTON 2.9,54,00180,9700000US5400180,5400180,Cabell County School District,00,727838071,18122000
-82.29390,38.43470,US1WVCB0006,38.43470,-82.29390,177.10000,WV HUNTINGTON 7.7,54,00180,9700000US5400180,5400180,Cabell County School District,00,727838071,18122000
-82.44430,38.40820,US1WVCB0008,38.40820,-82.44430,173.40000,WV HUNTINGTON 0.6,54,00180,9700000US5400180,5400180,Cabell County School District,00,727838071,18122000
-82.43400,38.39800,US1WVCB0011,38.39800,-82.43400,267.60000,WV HUNTINGTON 1.0,54,00180,9700000US5400180,5400180,Cabell County School District,00,727838071,18122000
-81.15970,38.48310,US1WVCY0001,38.48310,-81.15970,230.40000,WV PROCIOUS 2.4,54,00240,9700000US5400240,5400240,Clay County School District,00,885617251,4862445
-80.65610,39.41950,US1WVDD0001,39.41950,-80.65610,252.10000,WV CENTER POINT 2.2,54,00270,9700000US5400270,5400270,Doddridge County School District,00,828070519,1958441
-80.68300,39.39100,US1WVDD0002,39.39100,-80.68300,239.90000,WV WEST UNION 8.2,54,00270,9700000US5400270,5400270,Doddridge County School District,00,828070519,1958441
