STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
26,00005,2600005,Battle Creek Public Schools,00,PK,12,G5420,,E,107129014,1906207,+42.3315007,-085.2306005
26,00006,2600006,Bessemer Area School District,00,PK,12,G5420,,E,308868656,4042691,+46.3914205,-089.9231208
26,00007,2600007,Harbor Beach Community Schools,00,KG,12,G5420,,E,310229044,420618,+43.7762571,-082.6966110
26,00012,2600012,St. Ignace Area Schools,00,KG,12,G5420,,E,418012451,132591577,+46.0345710,-084.7509671
26,00013,2600013,Marquette Area Public Schools,00,KG,12,G5420,,E,329278844,2304501027,+46.7207110,-087.4117425
26,00014,2600014,Ewen-Trout Creek Consolidated Schools,00,PK,12,G5420,,E,1747638656,37579070,+46.5060245,-089.2513932
26,00015,2600015,Wayne-Westland Community School District,00,KG,12,G5420,,E,72346040,59004,+42.2917718,-083.3996200
26,00016,2600016,Crestwood School District,00,PK,12,G5420,,E,14069440,0,+42.3360258,-083.2936955
26,00017,2600017,Bad Axe Public Schools,00,KG,12,G5420,,E,232319398,453672,+43.8033427,-083.0109234
26,00018,2600018,L'Anse Area Schools,00,KG,12,G5420,,E,1871368324,211094813,+46.5638281,-088.7307210
26,00019,2600019,Superior Central Schools,00,KG,12,G5420,,E,587187057,6577195,+46.2689777,-086.9583586
26,01890,2601890,Adams Township School District,00,KG,12,G5420,,E,214774288,1675318,+47.0466293,-088.7328412
26,01920,2601920,Addison Community Schools,00,KG,12,G5420,,E,182344387,11566194,+41.9843327,-084.3460816
26,01950,2601950,Adrian City School District,00,KG,12,G5420,,E,177827900,1424796,+41.9137500,-084.0387613
26,01980,2601980,Airport Community School District,00,PK,12,G5420,,E,214222261,1322589,+42.0466849,-083.3751113
26,02010,2602010,Akron-Fairgrove Schools,00,KG,12,G5420,,E,238143552,505659,+43.5451084,-083.5536946
26,02040,2602040,Alba Public Schools,00,PK,12,G5420,,E,170885899,846450,+45.0056689,-084.9548233
26,02070,2602070,Albion Public Schools,00,PK,12,G5420,,E,166572982,2326467,+42.2608283,-084.7682613
26,02160,2602160,Alcona Community Schools,00,KG,12,G5420,,E,988752564,2878940730,+44.6934054,-083.2770563
26,02190,2602190,Algonac Community School District,00,KG,12,G5420,,E,110653105,134012353,+42.6119166,-082.6412238
26,02220,2602220,Allegan Public Schools,00,PK,12,G5420,,E,385970001,18987968,+42.5354046,-085.8891925
